tweetid,userid,user_display_name,user_screen_name,follower_count,following_count,tweet_language,tweet_text,tweet_time,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
744637365596094464,3312143142,1-800-WOKE-AF,gloed_up,28943,12906,en,Now this is something to talk about!🙌🏿🙌🏿🙌🏿🙌🏿🙌🏿 Boost the eff outta this #BlackExcellence hssqs://t.co/wZ0wIarSf3,2016-06-19 21:05,-123,,,False,,-123,103.0,5.0,2003.0,2969.0,[BlackExcellence],[],,
892495579074314240,4301962823,Black News,BlackNewsOutlet,40458,29659,en,"After thousands of people bullied Jessica online because of her teeth, two dentists stepped in to give her a life-changing smile! hssqs://t.co/BDnflhdgj4",2017-08-01 21:21,-123,,,False,,-123,467.0,80.0,4032.0,2967.0,[],[],,
839198392148459520,4224729994,Tennessee,TEN_GOP,147767,74664,en,The moment you realize that you don't watch TV. TV watches you! #Vault7 #Wikileaks hssqs://t.co/gK533DmVFb,2017-03-07 19:37,-123,,,False,,-123,183.0,157.0,3691.0,2964.0,"[Vault7, Wikileaks]",[],,
833852902770778112,4437233895,Crystal Johnson,Crystal1Johnson,56581,31117,en,The moment this adorable little girl's dad becomes her hype man at an NBA game  LOVE! ❤️❤️❤️ hssqs://t.co/TS69SNJhCW,2017-02-21 01:36,-123,,,False,,-123,289.0,36.0,8453.0,2954.0,[],[],,
815736482874859520,4272870988,Pamela Moore,Pamela_Moore13,72121,42080,en,"Trump wants to invite Netanyahu to the inauguration. White House ""furious"". ""Unprecedented disrespect"" to Obama hssqs://t.co/m74V50TeyQ",2017-01-02 01:48,-123,,,False,,-123,850.0,1033.0,4645.0,2949.0,[],[],,
923367375839383553,905514350684844036,Jemisha,JemiSHaaaZzz,16006,12636,en,Dave Chappell on how he feels about NFL players “taking a knee”: hssqs://t.co/QUH7t9pz3H,2017-10-26 01:55,-123,,,False,,-123,116.0,39.0,7541.0,2949.0,[],[],,
858802287623507970,4224729994,Tennessee,TEN_GOP,147767,74664,en,A comedy in three acts: 1 - Macron's wife posts Twitter poll on French election  2 - Marine Le Pen wins. 3 - Macron's wife deletes the poll. hssqs://t.co/4wUqzDS7ZW,2017-04-30 21:56,-123,,,False,,-123,192.0,188.0,3890.0,2948.0,[],[],,
796472094611701760,4224729994,Tennessee,TEN_GOP,147767,74664,en,"Black Trump Supporter, “Stop Blaming White People for Trump, NO ONE WANTED HILLARY!” hssqs://t.co/hJZIGDPSu2",2016-11-09 21:58,-123,,,False,,-123,436.0,298.0,3728.0,2944.0,[],[],,
847926641619808256,4272870988,Pamela Moore,Pamela_Moore13,72121,42080,en,".@newtgingrich: It's time to investigate Podesta and his brother, as well as Bill and Hillary Clinton! Retweet if you agree with Newt! hssqs://t.co/ELU8Qdb0Yr",2017-03-31 21:40,-123,,,False,,-123,115.0,133.0,2424.0,2937.0,[],[],[20713061],
859573731299123200,4224729994,Tennessee,TEN_GOP,147767,74664,en,"It's amazing how the Media flips out over someone giving OK sign, but is normalizing homophobic bigotry of Stephen Colbert. #FireColbert",2017-05-03 01:02,-123,,,False,,-123,155.0,245.0,3976.0,2937.0,[FireColbert],[],,
936318861246205952,842368501528559616,Luisa Haynes,wokeluisa,57295,50746,en,Just FYI: John McCain - who is battling cancer - is voting to end cancer treatments for millions as we pay for his.,2017-11-30 19:39,-123,,,False,,-123,202.0,129.0,4449.0,2933.0,[],[],,
800469424901791744,4437233895,Crystal Johnson,Crystal1Johnson,56581,31117,en,This police officer was caught punching a woman in the face — she was arrested and charged with assaulting an officer and resisting arrest. hssqs://t.co/ozq5he7tZw,2016-11-20 22:42,-123,,,False,,-123,282.0,123.0,1548.0,2930.0,[],[],,
830968298418356224,4224729994,Tennessee,TEN_GOP,147767,74664,en,"BREAKING: #OrovilleDam expected to FAIL ANY MINUTE. Evacuations underway! Hey Media,I don't mean to interrupt #Grammys but it looks serious. hssqs://t.co/bIvUDIqNGY",2017-02-13 02:34,-123,,,False,,-123,258.0,282.0,2550.0,2921.0,"[OrovilleDam, Grammys]",[],,
840733088304918528,4224729994,Tennessee,TEN_GOP,147767,74664,en,FLASHBACK: When Bill Clinton had 93 out of 94 U.S. Attorneys FIRED IN ONE DAY. CNN didn't say a word.. #peoplepower 'Preet Bharara' hssqs://t.co/eLUpjY42mk,2017-03-12 01:16,-123,,,False,,-123,215.0,148.0,2652.0,2919.0,[peoplepower],[],,
787756754331398145,4224729994,Tennessee,TEN_GOP,147767,74664,en,RT if you also think that @wikileaks has done great service for the Americans exposing Hillary's corruption! hssqs://t.co/ietFSEz2rq,2016-10-16 20:47,-123,,,False,,-123,139.0,95.0,1950.0,2914.0,[],[],[16589206],
911294454341959680,905874659358453760,10 GOP,10_gop,10203,1058,en,Everything we need to know about John McCain: hssqs://t.co/HOxrWqWylW,2017-09-22 18:21,-123,,,False,,-123,311.0,428.0,3128.0,2914.0,[],[],,
909865685580427265,905874659358453760,10 GOP,10_gop,10203,1058,en,Haha! Nancy Pelosi chased out of her own press conference. Life comes at you fast.  hssqs://t.co/DPpct2NJjw,2017-09-18 19:44,-123,,,False,,-123,280.0,495.0,4730.0,2913.0,[],[],,
814301297285414912,4272870988,Pamela Moore,Pamela_Moore13,72121,42080,en,"Sebastian Gorka speaks the truth again: ""The Obama administration has created global chaos. The world is on fire wherever you look."" hssqs://t.co/9GijrzyBSb",2016-12-29 02:45,-123,,,False,,-123,159.0,202.0,3155.0,2910.0,[],[],,
892933225529696256,4224729994,Tennessee,TEN_GOP,147767,74664,en,President Trump always taking time to say hello to his supporters!  You won't see this on CNN.. hssqs://t.co/jj066YwdBX,2017-08-03 02:20,-123,,,False,,-123,160.0,261.0,4744.0,2905.0,[],[],,
836772526365753344,4224729994,Tennessee,TEN_GOP,147767,74664,en,"What a bunch of idiots!! You're adults, try acting like adults!! #JointAddress hssqs://t.co/gJJ3tZ0bnl",2017-03-01 02:58,-123,,,False,,-123,557.0,893.0,4209.0,2905.0,[JointAddress],[],,
795376052562513921,4224729994,Tennessee,TEN_GOP,147767,74664,en,"Dear FBI Director Comey, thank you for letting Americans know that money and power can buy you freedom, and no matter how corrupt you are. hssqs://t.co/v7KuMdGqUp",2016-11-06 21:23,-123,,,False,,-123,190.0,212.0,2519.0,2904.0,[],[],,
